Adress,Latitude,Longitude,Lat(Dec),Long(Dec),pH,Turbidity,TDS,Alkalinity,Total_Hardness,Chloride,Fluoride,Nitrate-Nitrogen(NO₃-N),Iron,Manganese,Arsenic,Aluminum
58.OFFICE COMPOUND PUMP-2,23°47'02'',90°21'10'',23.78,90.35,7.07,4.25,143,145,104,10,0.02,0.6,0.25,0.14,<0.01,0.03
25.section-1(overhead),"23°48'07""",90°22'02'',23.8,90.37,6.89,1.29,121,125,88,12,0.17,1.6,0.29,0.18,<0.01,0.01
26.Mirpur Section-2D Water Pump,"23°48'31""","90°21'34""",23.81,90.36,6.93,2.36,137.2,150,78,10,0.27,0.7,0.32,0.13,<0.01,0
12.Duaripara Staff Quarter,"23°48'28""","90°21'32""",23.81,90.36,6.98,0.24,128.5,175,90,20,0.06,1.1,0.12,0.05,<0.01,0
89.pirerbag-2,23°47'11'',90°22'06'',23.79,90.37,6.81,1.87,149.4,165,100,11,0.38,0.3,0.33,0.1,<0.01,0
6..Pallabi 21(overhead),"23°49'31""","90°21'41""",23.83,90.36,6.75,1.19,135,125,112,10,0.43,0.6,0.21,0.15,<0.01,0
88.pirerbag-4,23°47'33'',90°21'57'',23.79,90.37,7.03,4.99,172,160,122,10,0.6,0.6,0.7,0.16,<0.01,0
85.RUPNAGOR-5,23°48'36'',90°21'16'',23.81,90.35,6.71,4.9,138,195,148,42,0.43,0.3,0.18,0.32,<0.01,0
64.Pirerbag-1-2,23°47'16'',90°21'55'',23.79,90.37,6.81,1.87,149,165,100,11,0.38,0.3,0.32,0.1,<0.01,0
83.RUPNAGOR-2,23°48'46'',90°21'20'',23.81,90.36,6.76,0.77,122.9,185,178,12,0.13,0.5,0.18,0.17,<0.01,0
48.Monipur-2 Water Pump,"23°48'03""",90°21'59'',23.8,90.37,6.71,2.77,206.7,210,170,21,0.11,0.6,0.48,0.27,<0.01,0
Mirpur_1/F,23°47'59'',90°21'10'',23.8,90.35,7,1.3,131.5,140,84,10,0.11,0.7,0.49,0.18,<0.01,0
10.Sujatnagar,"23°49'45""","90°21'41""",23.83,90.36,6.9,1.39,148.8,130,110,17,0.51,0.6,0.18,0.15,<0.01,0
41.Middle Paikpara-2 Water Pump,"23°47'23.85""","90°21'25.37""",23.79,90.36,6.98,5,169.8,170,124,10,0.19,0.4,0.9,0.23,<0.01,0.01
11.Anobik Commission,"23°49'37""","90°21'32""",23.83,90.36,6.91,2.44,123,115,84,10,0.17,1,0.31,0.11,<0.01,0
15.Section-6-16(2),"23°48'39""","90°21'53""",23.81,90.36,7.05,-,-,-,-,12,0.09,0.9,0.23,0.18,<0.01,-
Mirpur-2/I KIDNEY FOUNDATION,23°48'07'',90°21'36'',23.8,90.36,6.95,3.03,143.4,145,110,10,0.55,0.4,0.35,0.1,<0.01,0
11.Anobik Commission,"23°49'37""","90°21'32""",23.83,90.36,7.4,1.46,117.5,110,76,-,0.17,0.5,0.4,0.05,<0.01,-
3.Mullika Housing Water Pump,"23°49'09""","90°21'49""",23.82,90.36,6.95,1.65,198.3,105,60,8,0.37,0.6,0.33,0.12,<0.01,0
9.Duaripara-2 Water Pump,"23°49'27""","90°21'26""",23.82,90.36,6.91,0.38,115.5,120,100,10,0.03,0.7,0.05,0.02,<0.01,0
9.Duaripara-2 Water Pump,"23°49'27""","90°21'26""",23.82,90.36,6.94,5,143.9,130,80,15,0.75,0.3,0.7,0.07,<0.01,0.01
51.Monipur-5 Water,"23°47'56""",90°22'07'',23.8,90.37,6.95,5,159.6,175,126,11,0.47,0.3,0.78,0.18,<0.01,0
96.gudharaghat water pump,23°48'15'',90°20'52'',23.8,90.35,6.96,4.5,84.7,125,50,10,0.17,0.3,0.73,0.17,<0.01,0.03
87.pirerbag-3,23°47'20'',90°22'02'',23.79,90.37,6.92,5,167.2,185,132,10,0.08,0.4,0.72,0.13,<0.01,0
89.pirerbag-2,23°47'11'',90°22'06'',23.79,90.37,6.95,3.54,190,175,135,12,0.11,0.3,0.74,0.14,<0.01,0
107.monipur-7,23°47'47'',90°22'01'',23.8,90.37,6.93,5,161.2,230,110,10,0.08,-,0.24,0.09,< 0.01,0
RUPNAGAR-Tinshed,"23°49'17""","90°21'20""",23.82,90.36,7.1,0.65,174.4,125,98,10,0.02,-,0.2,0.05,<0.01,0
38.BIBM Water Pump,"23°48'05""","90°21'35""",23.8,90.36,6.88,2.88,135.9,120,100,10,0.27,-,0.45,0.18,<0.01,0
25.section-1(overhead),"23°48'07""",90°22'02'',23.8,90.37,7.08,3.7,232,170,122,19,0.36,-,0.89,0.24,<0.01,0
39.Kolwalapara Water Pump,"23°47'53""","90°21'15""",23.8,90.35,6.9,5,125.4,145,90,10,0.09,-,0.81,0.17,<0.01,0
42.Tejkuni Para-2,"23°45'41""","90°23'35""",23.76,90.39,7.11,4.46,171,180,118,10,0.21,0.9,0.45,0.16,<0.01,0.01
5.Banani-3,"23°47'11""","90°24'11""",23.79,90.4,6.92,1.77,167,150,92,21,0.47,0.5,0.22,0.08,<0.01,0
14.Gulshan 10,"23°47'06""","90°25'11""",23.79,90.42,7.11,0.53,152.4,110,98,10,0.15,0.6,0.06,0.27,<0.01,0
33.Hatir Jheel-4,"23°45'23""","90°24'10""",23.76,90.4,6.79,4.64,166,170,122,10,0.22,0.6,0.51,0.19,<0.01,0
33.Hatir Jheel-4,"23°45'23""","90°24'10""",23.76,90.4,6.79,4.64,166,170,122,10,0.22,0.6,0.51,0.19,<0.01,0
44.Alenbari,"23°45'54""","90°23'24""",23.77,90.39,7.2,1.01,161,160,252,10,0.28,0.7,0.74,0.15,<0.01,0.01
45.Old Assembly Baban-2,"23°46'03""","90°23'37""",23.77,90.39,6.9,4.11,158.7,185,132,16,0.31,0.4,0.98,0.29,<0.01,0.01
60.Nimtola-1,"23°45'26""","90°23'38""",23.76,90.39,7.01,0.88,172.8,165,136,11,0.1,0.7,0.35,0.24,<0.01,0
7.Koail Bou Bazar,"23°47'00""","90°24'37""",23.78,90.41,7.11,-,-,-,-,22,0.28,2.3,0.15,0.15,<0.01,-
6.Koail Jamai Bazar,"23°47'09""","90°24'43""",23.79,90.41,6.96,-,-,-,-,10,0.19,0.5,0.49,0.21,<0.01,-
39.BG Press Math,"23°45'43""","90°23'53""",23.76,90.4,6.9,2.92,163.4,175,128,15,0.16,0.4,0.49,0.22,<0.01,0.02
55.Mohakhali DOHS 1,"23°46'53""","90°23'42""",23.78,90.4,6.91,1.63,128.2,115,76,17,0.1,0.9,0.63,0.22,<0.01,0
Arjatpara,"23°46'38""","90°23'46""",23.78,90.4,6.97,2.21,172.9,155,104,12,0.57,-,0.44,0.23,<0.01,0
15.Gulshan-4," 23°47'39.00""","90°24'48.00""",23.79,90.41,6.94,3.91,156.1,165,98,11,0.61,-,0.27,0.14,<0.01,0
75.KHILGAO BAGISA-2,23°44'48'',90°25'28'',23.75,90.42,7.05,4.42,199.3,100,96,45,0.15,1.4,0.18,0.29,<0.01,0
84.OLD PASSPORT,23°44'49'',90°23'58'',23.75,90.4,6.91,1.85,183,125,152,14,0.29,0.8,0.35,0.2,<0.01,0.01
65.KHILGAO-6,23°44'57'',90°25'24'',23.75,90.42,6.92,2.62,178.7,170,106,13,0.14,0.4,0.4,0.21,<0.01,0.01
SOUTH GAU HORISAVA,23°44'20'',90°26'24'',23.74,90.44,6.78,4.09,135.3,125,80,15,0.12,0.7,0.3,0.12,<0.01,0
64kHILGAO-3,23°44'52'',90°25'33'',23.75,90.43,6.85,3.41,178.1,205,132,10,0.4,1,0.65,0.22,<0.01,0.01
60.MADHUBAGH OLD,23°45'31'',90° 24'44'',23.76,90.41,6.72,3.39,175.2,140,130,10,0.11,0.7,0.26,0.2,<0.01,0
61.MADHU BAGH MADRASA,23° 45'30'',90°24'36'',23.76,90.41,7.2,5.6,174.2,160,136,10,0.34,0.5,1,0.31,<0.01,0
46.Tejgaon BTCL,23°45'06'',90°24'34'',23.75,90.41,7.1,5.04,177.4,170,116,11,0.6,0.1,0.62,0.24,<0.01,0
72.BENJIR BAGAN,23°44'25'',90°25'29'',23.74,90.42,6.68,3.57,140.8,110,82,23,0.24,1,0.61,0.5,<0.01,0
35.Mathertec primary school,23°44'33'',90°26'22'',23.74,90.44,6.91,5,169,200,130,10,0.16,0.3,0.96,0.17,<0.01,0
50.ULON-2,23°45'43'',90°24'56'',23.76,90.42,6.79,4.9,161,180,122,11,0.06,0.4,0.37,0.17,<0.01,0
35.Mathertec primary school,23°44'33'',90°26'22'',23.74,90.44,6.9,5,164.3,180,118,13,0.12,0.2,0.3,0.1,<0.01,0.01
FOKIRAPUL,23°43'54'',90°24'54'',23.73,90.42,6.9,3.08,173.8,185,136,13,0.29,0.5,0.52,0.17,<0.01,0.01
107Moulivir tek,23°45'21'',90°25'25'',23.76,90.42,7.05,1.91,172.5,190,98,13,0.2,-,0.16,0.23,<0.01,0
54.RED CRESENT SOCIETY,23°45'16'',90°24'16'',23.75,90.4,6.92,2.02,182.7,190,128,10,0.76,-,0.33,0.18,<0.01,0
52.NOYA TOLA SHISU PARK,23°45'13'',90°24'29'',23.75,90.41,7.19,5,192.5,185,118,-,0.86,-,0.26,0.2,<0.01,0
51.HATIR JHIL-1,23°45'33'',90°24'37'',23.76,90.41,6.88,1.05,163.5,165,116,10,0.19,-,0.04,0.43,<0.01,0
51.HATIR JHIL-1,23°45'33'',90°24'37'',23.76,90.41,-,-,-,-,-,-,-,-,1.26,0.23,-,-
15.south banasree k block,"23°45'17""","90°26'26""",23.75,90.44,6.86,1.59,186.2,115,108,58,0.62,-,0.62,0.31,<0.01,0
73.SHANTI BAGH,23°42'14'',90°28'19'',23.7,90.47,6.95,3.56,146,115,72,35,0.32,1.1,0.26,0.07,<0.01,0
9.Muslim Nagar,23°41'38'',90°28'13'',23.69,90.47,6.86,4.92,144.4,140,120,16,0.17,0.7,0.68,0.29,<0.01,0
44.GobindoPur-1,23°42'18'',90°27'08'',23.71,90.45,6.92,3.37,139.7,130,96,10,0.12,0.3,0.74,0.4,<0.01,0.01
28.Momen Bagh,23°42'36'',90°27'59'',23.71,90.47,6.89,5,154.5,130,112,18,0.39,0.4,0.79,0.4,<0.01,0
26.Basherpul,23°43'01'',90°28'40'',23.72,90.48,6.81,1.77,140.9,145,132,16,0.5,0.6,0.28,0.15,<0.01,0
42.Jatrabari-2,23°42'13'',90°26'08'',23.7,90.44,7.29,5,287,125,200,105,0.16,0.3,0.96,0.4,<0.01,0.01
19.Bornomala,23°42'06'',90°26'52'',23.7,90.45,7.42,5,280,135,196,102,0.72,0.4,0.87,0.38,<0.01,0
1.Tusher Dhara,23°41'15'',90°28'29'',23.69,90.47,6.89,3.65,158.7,185,108,19,0.44,-,0.56,0.28,<0.01,0
32.EAST BADDA SONARKATRA,"23°46'43""","90°26' 02""",23.78,90.43,6.93,3.37,163,163,84,13,0.02,0.6,0.5,0.36,<0.01,0.02
51.KALACHANDPUR-2,"23°48'36""","90°24'50""",23.81,90.41,6.97,4.1,156,155,110,10,0.54,0.6,0.75,0.22,<0.01,0.03
39.AFTAB NAGOR-2,"23°46'00""","90°25'47""",23.77,90.43,6.97,1.17,168.3,160,74,21,0.02,0.4,0.14,0.35,<0.01,0.03
Nayanagar,23°48'01'',90°25'37'',23.8,90.43,6.88,2.08,139,125,96,20,0.03,1.2,0.53,0.19,<0.01,0
7.Bashundhara-9 ( A Block),"23°48'40""","90°25'33""",23.81,90.43,6.91,1.11,157.1,160,86,10,0.37,0.5,0.11,0.18,<0.01,0
61.AFTAB NAGOR-4,"23°45'48""","90°26'14""",23.76,90.44,6.72,3.11,195,180,134,22,0.73,0.5,0.34,0.34,<0.01,0
5.Bashundhara-1 Block B,23°48'47'',90°25'31'',23.81,90.43,6.93,2.45,152.8,160,104,23,0.41,0.5,1,0.33,<0.01,0
52.BARIDHARA-D.O.H.S-2,"23°48'34""","90°24'46""",23.81,90.41,7.2,3.06,3.06,165,160,10,0.1,0.8,0.91,0.19,<0.01,0
18.Baridhara J block,23°48'11'',90°25'27'',23.8,90.42,6.96,3.02,165.2,180,170,11,0.1,0.4,0.16,0.22,<0.01,0
21.Khilbarir tek-1,23°47'27'',90°25'43'',23.79,90.43,6.87,4.07,161.7,165,152,11,0.06,2.2,0.55,0.4,<0.01,0.01
9.Bashundhara-10,"23°48'35""","90°26'08""",23.81,90.44,7.2,0.9,186.6,195,120,12,0.16,-,0.2,0.16,<0.01,0
12.Kuril-1,23°49'14'',90°25'17'',23.82,90.42,6.96,5,138,155,110,11,0.41,0.6,0.8,0.34,<0.01,0.04
17.Nurer Chala,23°47'43'',90°25'45'',23.8,90.43,7.04,5,158.6,170,112,11,0.15,0.6,0.71,0.39,<0.01,0
63.WAST PODORIA,"23°47'29""","90°26'10""",23.79,90.44,6.95,4.69,150.2,155,90,19,0.1,-,0.45,0.34,<0.01,0.01
2.Bashundhara-6,23°48'46'',90°26'09'',23.81,90.44,7.28,1.51,171.5,180,104,15,0.53,-,0.28,0.18,<0.01,0
27.14-A-Uttara,23°51'59'',90°23'03'',23.87,90.38,6.97,0.38,117,125,62,12,0.4,0.6,0.06,0.16,<0.01,0.01
57.Middel Azampur,23°51'58'',90°24'39'',23.87,90.41,6.96,0.54,-,158,150,15,0.24,0.7,0.11,0.24,<0.01,0.01
37.Khilkhet-3,23°50'10'',90°25'46'',23.84,90.43,7.1,4.7,175.2,175,120,15,0.32,0.6,0.56,0.16,<0.01,0.01
12.UTTARA-9-A,23°52'28'',90°23'40'',23.87,90.39,6.98,0.31,203,125,134,49,0.78,1.6,0.05,0.04,<0.01,0
23.Uttara-13,23°52'18'',90°23'19'',23.87,90.39,6.88,4.13,144.5,150,100,10,0.3,0.6,0.59,0.11,<0.01,0
37.Khilkhet-3,23°50'10'',90°25'46'',23.84,90.43,7.06,4.24,170.7,-,-,-,-,-,0.96,0.15,-,-
55.Chalabon,23°52'06'',90°25'04'',23.87,90.42,7.07,3.6,159.2,150,124,10,0.69,0.3,0.58,0.11,<0.01,0
56.Shah kabir Mazar,23°52'19'',90°25'20'',23.87,90.42,6.91,5,157.6,160,130,12,0.14,-,0.82,0.14,<0.01,0
18.uttara-11,23°52'45'',90°23'23'',23.88,90.39,6.95,3.48,152.7,150,100,10,0.29,0.3,0.48,0.12,0.01,0
34.Kowlar-r-2,23°50'33'',90°25'51'',23.84,90.43,7.05,5,165.5,155,164,10,0.28,0.4,0.77,0.15,<0.01,0.01
10.uttara 7A,23°52'16'',90°24'01'',23.87,90.4,6.94,-,-,-,-,10,0.16,0.6,0.76,0.17,<0.01,-
53.Dewanpara,23°52'17'',90°24'24'',23.87,90.41,6.89,-,-,-,-,11,0.19,0.7,0.06,0.07,<0.01,-
13.Uttara-9c,23°52'45'',90°23'58'',23.88,90.4,6.82,-,-,-,-,10,0.19,0.7,0.83,0.18,<0.01,-
58.Dokkhin Azampur,23°51'46'',90°24'28'',23.86,90.41,7.08,-,-,-,-,11,0.37,0.3,0.8,0.17,<0.01,-
17.Uttara 11A,23°52'38'',90°23'06'',23.88,90.39,6.77,5,145.9,195,138,11,0.22,-,0.52,0.13,<0.01,0.01
1.Uttara-1(office compound),23°51'53'',90°23'43'',23.86,90.4,7.14,3.43,147.3,160,104,10,0.31,-,0.69,0.12,<0.01,0
66.KhanPara,23°52'25.20'',90°24'31.83'',23.87,90.41,7.06,5,140.6,160,106,8,0.27,-,1,0.13,<0.001,0
25.Uttara 13B,23°52'17'',90°23'13'',23.87,90.39,6.9,2.49,154,155,128,10,0.21,-,1,0.2,<0.01,0
